year,life_losses,property_losses
1,34.19407195081805,5.0
2,70.88748570853241,72.80871045487116
3,55.20565975090598,5.0
4,29.512675692720155,5.0
5,40.833912187604405,51.34554132668123
6,89.12374465448998,0.7195166201618797
7,21.384904378505695,5.0
8,43.03025983649181,5.0
9,77.87466660751755,6.260264146088659
10,36.91669414663971,34.18779080532768
11,39.4255014699232,303.0804547025295
12,48.36976199432416,38.78951825415346
13,84.26860490378095,5.0
14,39.9811185567474,5.0
15,42.80390426413568,5.0
16,42.94842851107381,41.36187729687086
17,108.2126783170505,2.709353335224165
18,107.49003402961947,9.031417497892305
19,71.05412209545564,4.661191201526407
20,57.236296145259374,7.331956895236518
21,64.72205387270489,5.0
22,84.24921193326809,13.345050027218441
23,36.03465633984018,23.902548599125026
24,75.45701611144604,5.0
25,32.23860900546875,2.3088364768828473
26,39.99722111475265,5.0
27,68.6835568870632,5.0
28,30.325373167157952,6.726488483207573
29,47.60791140252575,21.69778073305097
30,36.98116732608167,5.0
